"video_id","title","channel_title","published_at","view_count","like_count","comment_count","category_id","category_name"
"AZuZzXvBesk","Bongmedia - Amer Achaar | আমের আঁচার | Hit Song 2026 | Rap Song | Ujjal Film","Ujjal Film","2026-06-15T07:04:13Z","1466168","88243","3883","10","Music"
"kbTz6iQbL1I","Alpha Trailer Review | Yogi Bolta Hai","YOGI BOLTA HAI","2026-06-17T10:28:09Z","388093","16048","810","24","Entertainment"
"OH9JBWLYjaU","MECCHA CHAMELEON | S8UL GROUP GAMES","SOUL Regaltos","2026-06-17T19:56:31Z","272571","26779","311","20","Gaming"
"btVakLOwoAg","लाइसेंस रंगदारी के | Aashish Yadav, Srishti Bharti | 4K Video | License Rangdari Ke | New Maghi Song","Wave Music","2026-06-17T01:30:33Z","301100","24523","1400","10","Music"
"qBJiqPstD0o","Spider-Man Brand New Day Trailer • Reaction","thePJ","2026-06-17T19:34:16Z","145075","15734","535","20","Gaming"
"TyGV49EHppY","🔥 GTA 5 LIVE 🔴 Crazy Missions & Funny Moments | PAJI IS LIVE","PAJI IS LIVE","2026-06-17T10:41:53Z","1142699","5422","0","20","Gaming"
"L5Z-1JlL5ss","Verappa Extended - Video Song | Suriya's Karuppu | RJ Balaji |@SaiAbhyankkar| Dream Warrior Pictures","Think Music India","2026-06-15T12:30:07Z","1475366","58559","1672","10","Music"
"l89S3V-pocU","Alpha Trailer Review","BnfTV","2026-06-17T10:39:14Z","286384","16894","1422","24","Entertainment"
"tEkEYDcWpLY","50 SOLO KILLS TODAY? | RANK PUSH TO #1 | BGMI LIVE @LoLzZzGaming","LoLzZz Gaming","2026-06-17T23:11:26Z","348999","20456","17","20","Gaming"
"gZWLEm4JLQk","Dhamaal 4: CHATNI (Song) | Ajay Devgn, Arshad,Ritiesh, Jaaved, Ravi Kishan | Neelkamal, Aditya,Mamta","T-Series","2026-06-15T05:42:33Z","6447426","97795","5435","10","Music"
"5iecxofoZhY","Alpha Trailer Breakdown","FlickVerse","2026-06-17T12:52:10Z","339804","16504","1665","24","Entertainment"
"QAKV1AXSa38","AGAIN, FREE FIRE LIVE!","SATVIK","2026-06-17T19:25:07Z","1173454","56111","1304","20","Gaming"
"JNZcyEgMGoQ","Thodi Der - Lyrical | Half Girlfriend | Arjun K & Shraddha K |Farhan Saeed & Shreya Ghoshal |Kumaar","Bollywood Lyrical Songs","2026-06-16T10:30:04Z","69185","482","4","10","Music"
"lDrJtgNztiQ","SPIDERMAN BRAND NEW DAY New Trailer Breakdown | Explained in Hindi","DesiNerd","2026-06-18T00:30:11Z","53073","4854","176","24","Entertainment"
"rVDpzupn3mc","100 Days But You Can CRAFT SUPER OP POTION In Hardcore Minecraft 😱","Anshu Bisht","2026-06-16T08:30:27Z","1182443","65072","6708","20","Gaming"
"XQexho460PU","Hindi Gana 💕 Evergreen Purane Gane 💓 हिंदी गाने 💓 Sadabahar Song 💕 Filmi Gane 90s-80s | Durga Boss","Deepak Nigam Official","2026-06-17T08:30:06Z","103122","362","12","10","Music"
"8u_AfYJ46R0","Village Life Season 2 | Official Trailer | Rocky Marwadi","Rocky Marwadi","2026-06-15T09:48:45Z","258686","21912","1590","24","Entertainment"
"PmcuY2p_vcQ","School Boy Runaway Main Gate Escape Karliya","Live Insaan","2026-06-17T09:00:14Z","601759","28164","2647","20","Gaming"
"OHHD2-YH00U","#Video | Ft. #Kajal Raghwani | 70 % शूटर | #Raushan Rohi | #Srishti Bharti | New Maghi Song","Raushan Rohi Entertainment","2026-06-18T00:45:34Z","198600","33732","4298","10","Music"
"Bfb6pXyOHWs","FUK! Bare Minimum ⁝ Alpha Trailer Review","PJ Explained","2026-06-17T11:33:06Z","150387","7590","730","1","Film & Animation"
"ZKJvVZks9fg","I Flooded My Entire World with Chocolate in Minecraft!","ProBoiz 95","2026-06-15T14:01:17Z","2509462","87735","6037","20","Gaming"
"1PfnLwNvXCc","Panther - Non Talha (Official Music Video)","Panther","2026-06-16T05:12:10Z","428737","62616","12956","10","Music"
"eZNWWFKo-4w","Alpha Trailer Review & Analysis | Alia Bhatt | Sharvari | Bobby Deol","Tried&Refused Productions.","2026-06-17T12:00:05Z","151501","4564","1041","24","Entertainment"
"sI6Hr79VQAA","How I Stole CUSTOM WEAPONS From NETHER PLAYERS in This Minecraft SMP","SenpaiExtras","2026-06-17T08:02:23Z","677666","47356","4981","20","Gaming"
"eQoI2bPIkDY","Bandhu 2.0 (From ""Cocktail 2"")","Pritam - Topic","2026-06-17T12:28:49Z","111143","3449","95","10","Music"
"uCjkRVV0-qU","Hotstar Specials: Pritam and Pedro | Rajkumar Hirani | Official Trailer | July 3 | JioHotstar","JioHotstar","2026-06-15T07:53:06Z","10794372","15111","488","17","Sports"
"8W_SoT9by1A","CHUPAM CHUPAI | NO PROMOTION","CarryisLive","2026-06-17T19:27:46Z","333524","19156","159","20","Gaming"
"U1-nNLcEts4","Zindagi Pyar Ka Geet Hai ❤️ | Disco Reloaded Version | Nonstop 90's Melody","RETRO JHANKAR","2026-06-10T03:00:14Z","498025","2827","18","10","Music"
"6P8SApg1g-c","Ananthan Kaadu Trailer (Malayalam) | Arya | Jiyen Krishnakumar | Ajaneesh Loknath | Murali Gopy","Mini Music","2026-06-15T13:30:07Z","723889","8309","833","1","Film & Animation"
"MtoAFzUIni8","I BECAME SUPER RICH BUYING THIS BROKEN MINE  😱🤑","NotGamerFleet","2026-06-17T07:30:36Z","414948","40754","3647","20","Gaming"
"ZDm6uBWzcis","Aawas - Music Video | Bintu Pabra & Shiva Choudhary | Shivani Yadav | New Haryanvi Song","Zee Music Haryanvi","2026-06-16T05:32:28Z","1407914","11442","343","10","Music"
"7xz5uL0Bk2E","Sing Geetham Official Trailer | Singeetham Srinivasa Rao | Devi Sri Prasad | Nag Ashwin","Vyjayanthi Network","2026-06-15T10:36:51Z","349693","5581","156","1","Film & Animation"
"01E6GMKtzHQ","100k Special with @BossGamingLive  🔥 #gta5 #shortslive #gaming","BOSS GAMING","2026-06-18T04:05:10Z","802874","3704","0","20","Gaming"
"UDOIFBU543k","Aravindh - Music Video | Albuquerque Records | Anirudh Ravichander","Anirudh Ravichander","2026-06-14T14:34:32Z","8466665","114037","2778","10","Music"
"R704yP3dlXw","Welcome To The Jungle - Official Trailer | In Cinemas 26th June","Star Studios","2026-06-11T07:12:45Z","24757124","264727","41057","24","Entertainment"
"yoAvM_6hpPM","5 Ways to Steal Secret Items from ProBoiz95 in Minecraft!","Junkeyy","2026-06-17T14:12:07Z","264869","8508","711","20","Gaming"
"yPXJyn0VAbQ","Janta","Jass Bajwa - Topic","2026-06-16T10:04:07Z","136524","1880","31","10","Music"
"qaWfSCTwbDA","Spider-Man: Brand New Day Trailer 2 Reaction | Man of Fiction Reacts","Man of Fiction Reacts","2026-06-17T20:07:12Z","11807","1271","43","24","Entertainment"
"j-DBNmYSCrE","Doorbin Found Ben10 Watch in Minecraft...","Karry Kraft","2026-06-16T12:41:42Z","858537","12060","575","20","Gaming"
"bP0KMyrAlxk","Deewane Hain - Teaser | Welcome to the Jungle |Amruta Fadnavis, Anand Raaj Anand| In Cinemas 26 June","Times Music","2026-06-17T05:46:03Z","232795","5930","168","10","Music"
